author,local_guide_info,rating,review,date_text,text_backup
Salima B,Local Guide · 58 avis · 166 photos,5 étoiles,"Je laisse cet avis spécialement pour remercier Stéphane de son service impeccable. On n’a jamais vu quelqu’un d’aussi souriant à Paris, encore moins par un matin grisâtre. Vous avez rendu notre expérience au Café de Flore très agréable et nous avons très bien profité de notre petit-déjeuner. Merci!",il y a 8 mois,"Salima B
Local Guide · 58 avis · 166 photos






il y a 8 mois
Je laisse cet avis spécialement pour remercier Stéphane de son service impeccable. On n’a jamais vu quelqu’un d’aussi souriant à Paris, encore moins par un matin grisâtre. Vous avez rendu notre expérience au Café de Flore très agréable et nous avons très bien profité de notre petit-déjeuner. Merci!
Prix par personne
10–20 €
Cuisine : 5
Service : 5
Ambiance : 5
Niveau de bruit
Modéré
Taille de groupe
2 personnes
Temps d’attente
10-30 min
Visité en juin 2025

J'aime

Partager"
SYLVIE PAUPLIN,Local Guide · 14 avis · 7 photos,5 étoiles,"Petit groupe de 10 filles le 31 janvier 2026, pour une pause ☕️/chocolat/☕️ 🫖👌👍. Un grand merci à Vanessa pour son accueil chaleureux doté d un bel humour le temps de nous placer et ouiiiii 10 filles très peu d attente,  merci également à Gaël pour la qualité du service et l attention apporté.😉",il y a 2 semaines,"SYLVIE PAUPLIN
Local Guide · 14 avis · 7 photos






il y a 2 semaines
NOUVEAU
Petit groupe de 10 filles le 31 janvier 2026, pour une pause ☕️/chocolat/☕️ 🫖👌👍. Un grand merci à Vanessa pour son accueil chaleureux doté d un bel humour le temps de nous placer et ouiiiii 10 filles très peu d attente,  merci également à Gaël pour la qualité du service et l attention apporté.😉
Type de repas
Autre
Service : 5
Ambiance : 5
Temps d’attente
10 min maximum
Visité en janvier

J'aime

Partager"
Serge TRONCHON,Local Guide · 131 avis · 663 photos,1 étoile,"D extérieur semble très sympa.
Le personnel de service est très bien habillé avec une tenue uniforme genre année 50.
Une fois installé nous avons attendu un long moment pour avoir la carte. Ensuite il en a été de même pour être servi.
Service peu sympathique d ailleurs.
Nous avons juste pris deux boissons. Bien nous en a pris car par exemple la table à côté avait un tartare à 29€ servit avec des chips !!! Une honte de la cuisine française.
Dés chips en guise d’accompagnement sur des plats à 30€ il faut vous remettre en question
Conclusion 18€50 pour un jus pamplemousse et un coca ??? Sans rien de plus
À éviter il y à mieux et moins cher ailleurs",il y a 2 mois,"Serge TRONCHON
Local Guide · 131 avis · 663 photos






il y a 2 mois
D extérieur semble très sympa.
Le personnel de service est très bien habillé avec une tenue uniforme genre année 50.
Une fois installé nous avons attendu un long moment pour avoir la carte. Ensuite il en a été de même pour être servi.
Service peu sympathique d ailleurs.
Nous avons juste pris deux boissons. Bien nous en a pris car par exemple la table à côté avait un tartare à 29€ servit avec des chips !!! Une honte de la cuisine française.
Dés chips en guise d’accompagnement sur des plats à 30€ il faut vous remettre en question
Conclusion 18€50 pour un jus pamplemousse et un coca ??? Sans rien de plus
À éviter il y à mieux et moins cher ailleurs
Cuisine : 1
Service : 2
Ambiance : 1
Visité en décembre 2025

J'aime

Partager"
Timothée Cervi,9 avis,3 étoiles,"Lieu historique et symbolique mais qui n'a plus grand chose à voir avec ce que devait être un café littéraire de l'époque: hyper fréquenté, hyper touristique et hyper cher. Un croque-monsieur tout à fait quelconque, salade sans sauce, 3 coupes de champagne > 80€. Aie...
Mais serveurs sympas et serviables et ambiance animée et plutôt agréable. On y voit encore des habitués venir consommer leur ""comme d'habitude"".",il y a 3 mois,"Timothée Cervi
9 avis






il y a 3 mois
Lieu historique et symbolique mais qui n'a plus grand chose à voir avec ce que devait être un café littéraire de l'époque: hyper fréquenté, hyper touristique et hyper cher. Un croque-monsieur tout à fait quelconque, salade sans sauce, 3 coupes de champagne > 80€. Aie...
Mais serveurs sympas et serviables et ambiance animée et plutôt agréable. On y voit encore des habitués venir consommer leur ""comme d'habitude"".
Type de repas
Autre
Prix par personne
30–40 €
Cuisine : 3
Service : 5
Ambiance : 4
Taille de groupe
2 personnes
Temps d’attente
10 min maximum
Visité en novembre 2025

J'aime

Partager"
Benoit Dieu-Hunin,Local Guide · 383 avis · 6 114 photos,5 étoiles,"Très belle et agréable découverte du célèbre et prestigieux Café de Flore !
La superbe façade fleurie est un merveilleux accueil lorsque l’on arrive devant.
J’ai été accueilli par un charmant maître d’hôtel qui m’a installé dans un coin de la terrasse que j’ai beaucoup apprécié.
J’ai eu ensuite le privilège d’être servi par Joseph, un serveur élégant, courtois et agréable. Il est très beau avec son style parisien et sa petite moustache bien taillée. Son service est impeccable et il est attentionné. Il y ajoute également une note d’esprit, ce qui n’est pas pour me déplaire.
J’ai pris un petit-déjeuner complet avec des œufs au plat accompagnés de bacon, un croissant, un jus d’orange et un café crème.
Joseph a veillé à ce que je ne manque de rien.
On se sent valorisé lorsque l’on est servi par lui.
Pour le côté table, je me suis régalé ! Bravo à l’équipe en cuisine.
Bon rapport qualité / prix.
Je retournerai vraiment avec plaisir au Café de Flore !",il y a 2 ans,"Benoit Dieu-Hunin
Local Guide · 383 avis · 6 114 photos






il y a 2 ans
Très belle et agréable découverte du célèbre et prestigieux Café de Flore !
La superbe façade fleurie est un merveilleux accueil lorsque l’on arrive devant.
J’ai été accueilli par un charmant maître d’hôtel qui m’a installé dans un coin de la terrasse que j’ai beaucoup apprécié.
J’ai eu ensuite le privilège d’être servi par Joseph, un serveur élégant, courtois et agréable. Il est très beau avec son style parisien et sa petite moustache bien taillée. Son service est impeccable et il est attentionné. Il y ajoute également une note d’esprit, ce qui n’est pas pour me déplaire.
J’ai pris un petit-déjeuner complet avec des œufs au plat accompagnés de bacon, un croissant, un jus d’orange et un café crème.
Joseph a veillé à ce que je ne manque de rien.
On se sent valorisé lorsque l’on est servi par lui.
Pour le côté table, je me suis régalé ! Bravo à l’équipe en cuisine.
Bon rapport qualité / prix.
Je retournerai vraiment avec plaisir au Café de Flore !
Visité en mai 2023
+ 19

5

Partager"
Bahia Riyad,Local Guide · 48 avis · 24 photos,5 étoiles,"Le Café de Flore reste à la hauteur de sa réputation. J’ai dégusté une infusion à la menthe poivrée, fraîche et délicieuse, accompagnée d’un millefeuille divin, léger et croustillant. Le service était impeccable, avec un serveur attentionné et chaleureux. Une belle expérience parisienne !",il y a un an,"Bahia Riyad
Local Guide · 48 avis · 24 photos






il y a un an
Le Café de Flore reste à la hauteur de sa réputation. J’ai dégusté une infusion à la menthe poivrée, fraîche et délicieuse, accompagnée d’un millefeuille divin, léger et croustillant. Le service était impeccable, avec un serveur attentionné et chaleureux. Une belle expérience parisienne !
Cuisine : 5
Service : 5
Ambiance : 4
Visité en octobre 2024
+ 3

J'aime

Partager"
ALINE GIAMMERTINI,9 avis · 3 photos,2 étoiles,"Une découverte dans ce lieu mythique Parisien.
Une brasserie extrêmement fréquentée, l’attente a été très rapide.
On y va pas pour le calme, on est collé les uns aux autres et il ne faut pas avoir envie d’aller aux toilettes sinon tous le monde doit se lever si vous êtes coté banquette, tout à fait normal pour une brasserie parisienne.

Pour mon expérience, le service a été parfait ! Le serveur qui s’est occupé de moi a été très attentif et réactif quand mes frites sont arrivées à peine tièdes à 2 reprises, il a vite été les remplacer à chaque fois et j’ai réussi à en avoir des chaudes 😉

Par contre le gros Bémol quand on commande un steak tartare dans un établissement de cette renommée a 38€, on ne sert pas des frites surgelées dignes d’un Mac Do !
Ok 600 couverts par jour c’est beaucoup mais dommage que les responsables de l’établissement ne se soucient pas de ce genre de petit détail qui fait toute la différence.

Même si le tartre était délicieux, j’ai fait l’impasse sur le dessert et je n’y retournerai plus.

Pour une fois la déception n’est pas lié à la qualité de la cuisine ni du service qui fait tout pour satisfaire le client mais à la direction qui préfère regarder à l’économie et s’assurer une meilleur rentabilité quitte à décevoir sa clientèle.
Le 2 étoiles, c’est pour les dirigeants…",il y a un mois,"ALINE GIAMMERTINI
9 avis · 3 photos






il y a un mois
Une découverte dans ce lieu mythique Parisien.
Une brasserie extrêmement fréquentée, l’attente a été très rapide.
On y va pas pour le calme, on est collé les uns aux autres et il ne faut pas avoir envie d’aller aux toilettes sinon tous le monde doit se lever si vous êtes coté banquette, tout à fait normal pour une brasserie parisienne.

Pour mon expérience, le service a été parfait ! Le serveur qui s’est occupé de moi a été très attentif et réactif quand mes frites sont arrivées à peine tièdes à 2 reprises, il a vite été les remplacer à chaque fois et j’ai réussi à en avoir des chaudes 😉

Par contre le gros Bémol quand on commande un steak tartare dans un établissement de cette renommée a 38€, on ne sert pas des frites surgelées dignes d’un Mac Do !
Ok 600 couverts par jour c’est beaucoup mais dommage que les responsables de l’établissement ne se soucient pas de ce genre de petit détail qui fait toute la différence.

Même si le tartre était délicieux, j’ai fait l’impasse sur le dessert et je n’y retournerai plus.

Pour une fois la déception n’est pas lié à la qualité de la cuisine ni du service qui fait tout pour satisfaire le client mais à la direction qui préfère regarder à l’économie et s’assurer une meilleur rentabilité quitte à décevoir sa clientèle.
Le 2 étoiles, c’est pour les dirigeants…
Type de repas
Déjeuner
Prix par personne
40–50 €
Cuisine : 4
Service : 5
Ambiance : 4
Niveau de bruit
Élevé (mais il est possible de discuter)
Temps d’attente
10 min maximum
Visité en janvier

J'aime

Partager"
Sebastien Morillon,Local Guide · 54 avis · 1 photo,3 étoiles,"Ah, le Flore… tant de bouleversements, un reflet de notre société, je crois.
La qualité et le service sont toujours là, mais le tout est assez froid et impersonnel. Et à quel prix ?
Les tarifs semblent désormais dignes d’un Grand Palace du 8e, ciblant plutôt les touristes fortunés et “instagram-ables”. Un vent nouveau souffle sur Saint-Germain… que faire ?

N’oubliez pas de ne pas vendre (entièrement) votre belle âme au grand capital qui uniformise tout.
Battez-vous pour ne pas sombrer.
Tout n’est pas qu’une question d’argent dans la vie, et vous le savez , si les murs de chez vous pouvez parler.",il y a un mois,"Sebastien Morillon
Local Guide · 54 avis · 1 photo






il y a un mois
Ah, le Flore… tant de bouleversements, un reflet de notre société, je crois.
La qualité et le service sont toujours là, mais le tout est assez froid et impersonnel. Et à quel prix ?
Les tarifs semblent désormais dignes d’un Grand Palace du 8e, ciblant plutôt les touristes fortunés et “instagram-ables”. Un vent nouveau souffle sur Saint-Germain… que faire ?

N’oubliez pas de ne pas vendre (entièrement) votre belle âme au grand capital qui uniformise tout.
Battez-vous pour ne pas sombrer.
Tout n’est pas qu’une question d’argent dans la vie, et vous le savez , si les murs de chez vous pouvez parler.
Type de repas
Dîner
Prix par personne
50–60 €
Cuisine : 3
Service : 4
Ambiance : 2
Visité en janvier

1

Partager"
Hélène Wendling,Local Guide · 39 avis · 47 photos,3 étoiles,"Repas médiocre
La fameux soupe à l'oignon à 16,50€ n'avait aucun gout !
Le seul point réellement positif c'est la qualité/rapidité du service.
Serveur souriant et agréable, rare à Paris.",il y a 6 mois,"Hélène Wendling
Local Guide · 39 avis · 47 photos






il y a 6 mois
Repas médiocre
La fameux soupe à l'oignon à 16,50€ n'avait aucun gout !
Le seul point réellement positif c'est la qualité/rapidité du service.
Serveur souriant et agréable, rare à Paris.
Type de repas
Déjeuner
Prix par personne
50–60 €
Cuisine : 3
Service : 5
Ambiance : 4
Taille de groupe
2 personnes
Temps d’attente
10-30 min
Visité en juillet 2025

J'aime

Partager"
Louisa A.C,Local Guide · 56 avis · 30 photos,5 étoiles,"Café typique parisien,  j’ai pris un œuf à la coque qui était délicieux.
J’étais ravie de déguster mon œuf ou tant de personne historique sont venus avant moi de restaurer.
Il y’a beaucoup de touriste qui d’ailleurs on jamais vu un œuf à la coque et qui étaient très intrigués.  Mais le service est rapide.  Et la nourriture bonne.
Passage obligé pour un séjour à Paris.",il y a 2 ans,"Louisa A.C
Local Guide · 56 avis · 30 photos






il y a 2 ans
Café typique parisien,  j’ai pris un œuf à la coque qui était délicieux.
J’étais ravie de déguster mon œuf ou tant de personne historique sont venus avant moi de restaurer.
Il y’a beaucoup de touriste qui d’ailleurs on jamais vu un œuf à la coque et qui étaient très intrigués.  Mais le service est rapide.  Et la nourriture bonne.
Passage obligé pour un séjour à Paris.
Service
Repas sur place
Type de repas
Déjeuner
Prix par personne
20–30 €
Cuisine : 5
Service : 5
Ambiance : 5
+ 2

1

Partager"
