author,local_guide_info,rating,review,date_text,text_backup
Lucie Mokas,8 avis · 6 photos,5 étoiles,"Endroit très sympathique pour boire un café le matin. Serveur souriant, ce qui n’est pas le cas partout.",il y a 2 mois,"Lucie Mokas
8 avis · 6 photos






il y a 2 mois
Endroit très sympathique pour boire un café le matin. Serveur souriant, ce qui n’est pas le cas partout.
Type de repas
Petit-déjeuner
Prix par personne
10–20 €
Cuisine : 5
Service : 5
Ambiance : 5
Niveau de bruit
Élevé (mais il est possible de discuter)
Taille de groupe
9 personnes ou plus
Visité en décembre 2025

J'aime

Partager"
BA Alpilles,Local Guide · 289 avis · 2 397 photos,4 étoiles,"Café typiquement parisien avec un cadre assez défraîchi que nous avons malgré tout aimé. A l’intérieur le lieu est une vrai fourmilière. Les serveurs ont une cadence folle.
On ressent la pression surtout au niveau de la récupération des commandes. Nous avons été impressionnés par leurs conditions de travail et malgré tout, peiné…
Nous ne pensions pas pouvoir réussir a prendre un petit déjeuner car toujours beaucoup de monde et très prisé par les touristes.
Comme les prix sont relativement chers nous mettons 4 étoiles…",il y a 11 mois,"BA Alpilles
Local Guide · 289 avis · 2 397 photos






il y a 11 mois
Café typiquement parisien avec un cadre assez défraîchi que nous avons malgré tout aimé. A l’intérieur le lieu est une vrai fourmilière. Les serveurs ont une cadence folle.
On ressent la pression surtout au niveau de la récupération des commandes. Nous avons été impressionnés par leurs conditions de travail et malgré tout, peiné…
Nous ne pensions pas pouvoir réussir a prendre un petit déjeuner car toujours beaucoup de monde et très prisé par les touristes.
Comme les prix sont relativement chers nous mettons 4 étoiles…
Type de repas
Petit-déjeuner
Cuisine : 5
Service : 5
Ambiance : 5
Visité en mars 2025

1

Partager"
John Maull,Local Guide · 245 avis · 2 206 photos,4 étoiles,"A friend said to me, “Go to Café de flore to be seen, but not for the food.” Very true words- I enjoyed sitting outside and people watching, especially seeing girls taking selfies dressed up as Emily in Paris. The cheese board was mediocre. I’m not sure how they could mess up French cheese given the incredible variety available in Paris.

Un ami m'a dit : « Va au Café de Flore pour être vu, pas pour la nourriture. » C'est tout à fait vrai : j'ai adoré m'asseoir dehors et observer les gens, surtout voir des filles prendre des selfies déguisées en Emily à Paris. Le plateau de fromages était médiocre. Je ne vois pas comment ils ont pu rater le fromage français vu l'incroyable variété disponible à Paris.",il y a 7 mois,"John Maull
Local Guide · 245 avis · 2 206 photos






il y a 7 mois
A friend said to me, “Go to Café de flore to be seen, but not for the food.” Very true words- I enjoyed sitting outside and people watching, especially seeing girls taking selfies dressed up as Emily in Paris. The cheese board was mediocre. I’m not sure how they could mess up French cheese given the incredible variety available in Paris.

Un ami m'a dit : « Va au Café de Flore pour être vu, pas pour la nourriture. » C'est tout à fait vrai : j'ai adoré m'asseoir dehors et observer les gens, surtout voir des filles prendre des selfies déguisées en Emily à Paris. Le plateau de fromages était médiocre. Je ne vois pas comment ils ont pu rater le fromage français vu l'incroyable variété disponible à Paris.
Cuisine : 2
Service : 4
Ambiance : 5
Visité en juillet 2025
+ 2

J'aime

Partager"
M.J.,Local Guide · 27 avis · 88 photos,5 étoiles,"Aujourd’hui, nous avons vécu une expérience charmante au mythique Café de Flore. Notre serveur, Tonny ,  toujours souriant et attentionné, a rendu le moment unique. J’ai savouré un délicieux verre en regardant la vie parisienne défiler depuis la terrasse… Tonny a repondue a tout nos demande,un souvenir à garder précieusement. Merci pour ce moment si spécial !”",il y a 6 mois,"M.J.
Local Guide · 27 avis · 88 photos






il y a 6 mois
Aujourd’hui, nous avons vécu une expérience charmante au mythique Café de Flore. Notre serveur, Tonny ,  toujours souriant et attentionné, a rendu le moment unique. J’ai savouré un délicieux verre en regardant la vie parisienne défiler depuis la terrasse… Tonny a repondue a tout nos demande,un souvenir à garder précieusement. Merci pour ce moment si spécial !”
Type de repas
Autre
Prix par personne
80–90 €
Cuisine : 5
Service : 5
Ambiance : 5
Niveau de bruit
Modéré
Temps d’attente
Aucune attente
Visité en août 2025

J'aime

Partager"
Dario Bivona,Local Guide · 174 avis · 877 photos,5 étoiles,"Passer par Paris et ne pas s’arrêter au Café de Flore pour un lunch ou un café gourmand, c’est une hérésie!!! C’est l’ambiance typique parisienne avec un bonus “touristes” à la carte, mais ça vaut quand même la peine.
J’ai pris une excellente Salade César et un verre de vin, le combo parfait.",il y a un an,"Dario Bivona
Local Guide · 174 avis · 877 photos






il y a un an
Passer par Paris et ne pas s’arrêter au Café de Flore pour un lunch ou un café gourmand, c’est une hérésie!!! C’est l’ambiance typique parisienne avec un bonus “touristes” à la carte, mais ça vaut quand même la peine.
J’ai pris une excellente Salade César et un verre de vin, le combo parfait.
Cuisine : 5
Service : 4
Ambiance : 4
Visité en février 2025
0:12

1

Partager"
Felipe Soreta,Local Guide · 249 avis · 938 photos,5 étoiles,"La brasserie de référence des grands boulevards rive gauche, l'endroit est magnifique, typique et très chaleureux... Le personnel efficace et attentionné, la carte et les tarifs sont raisonnables, le service y est rapide et soigné... Le savoir faire à la Française . Félicitations et merci 🌟🌟🌟🌟🌟",il y a un mois,"Felipe Soreta
Local Guide · 249 avis · 938 photos






il y a un mois
La brasserie de référence des grands boulevards rive gauche, l'endroit est magnifique, typique et très chaleureux... Le personnel efficace et attentionné, la carte et les tarifs sont raisonnables, le service y est rapide et soigné... Le savoir faire à la Française . Félicitations et merci 🌟🌟🌟🌟🌟
Type de repas
Dîner
Prix par personne
20–30 €
Cuisine : 5
Service : 5
Ambiance : 5
Niveau de bruit
Modéré
Temps d’attente
10 min maximum
Visité en janvier

J'aime

Partager"
Shahrazad Bouchama,Local Guide · 44 avis · 26 photos,3 étoiles,"Établissement parisien incontournable mais évidemment touristique. Le chocolat chaud est bon, sans plus. Bonne crème brûlée mais tarte tatin immonde",il y a un mois,"Shahrazad Bouchama
Local Guide · 44 avis · 26 photos






il y a un mois
Établissement parisien incontournable mais évidemment touristique. Le chocolat chaud est bon, sans plus. Bonne crème brûlée mais tarte tatin immonde
Cuisine : 3
Service : 3
Ambiance : 4
Visité en janvier

J'aime

Partager"
MF,Local Guide · 706 avis · 6 230 photos,4 étoiles,"Une adresse mythique de Paris.
Niveau plat: La salade de végétaux avec où il y a une tranche de chèvre…. Mais les légumes et les champignons étaient bien marinés.
Très bonnes profiteroles avec un très bon chocolat, de la très bonne glace et des bons choux. Portion généreuse.
Trop de parmesan dans la salade césar.
Service un peu lent mais sympathique. Très efficace la queue à l’entrée avance vite.
Prix élevé, honnêtement on paie pour le nom, le quartier.",il y a 2 ans,"MF
Local Guide · 706 avis · 6 230 photos






il y a 2 ans
Une adresse mythique de Paris.
Niveau plat: La salade de végétaux avec où il y a une tranche de chèvre…. Mais les légumes et les champignons étaient bien marinés.
Très bonnes profiteroles avec un très bon chocolat, de la très bonne glace et des bons choux. Portion généreuse.
Trop de parmesan dans la salade césar.
Service un peu lent mais sympathique. Très efficace la queue à l’entrée avance vite.
Prix élevé, honnêtement on paie pour le nom, le quartier.
Service
Repas sur place
Type de repas
Déjeuner
Prix par personne
30–40 €
Cuisine : 4
Service : 4
Ambiance : 4
Plats recommandés
Salade Caesar
Visité en août 2023

1

Partager"
Inès Labrousse,3 avis · 19 photos,4 étoiles,"Le café que j'ai récemment visité est un endroit charmant situé dans le centre-ville. Dès que vous entrez, vous êtes accueilli par l'odeur alléchante de café fraîchement moulu. L'atmosphère est chaleureuse et accueillante, avec des murs en briques apparentes, des tables en bois confortables et une belle lumière naturelle qui entre par les grandes fenêtres.

Le menu offre une variété de boissons chaudes et froides, ainsi que des pâtisseries et des collations légères. J'ai commandé un cappuccino et un croissant au beurre. Le cappuccino était parfaitement préparé, avec une mousse de lait lisse et crémeuse et un café corsé. Le croissant était également délicieux, légèrement croustillant à l'extérieur et moelleux à l'intérieur.

Le personnel était sympathique et serviable, prêt à répondre à toutes mes questions sur les boissons et les pâtisseries. Le service était rapide et efficace, sans sacrifier la qualité ou le goût.

La décoration de l'endroit est simple mais élégante, avec des touches de plantes vertes et des œuvres d'art locales accrochées aux murs. L'ambiance était calme et paisible, parfait pour une pause-café en solo ou une rencontre avec des amis.

Le seul petit point négatif était le prix, un peu plus élevé que dans d'autres cafés de la région. Cependant, la qualité des boissons et des pâtisseries en valait vraiment la peine.

En résumé, je recommande vivement ce café pour une expérience de café délicieuse et relaxante.",il y a 2 ans,"Inès Labrousse
3 avis · 19 photos






il y a 2 ans
Le café que j'ai récemment visité est un endroit charmant situé dans le centre-ville. Dès que vous entrez, vous êtes accueilli par l'odeur alléchante de café fraîchement moulu. L'atmosphère est chaleureuse et accueillante, avec des murs en briques apparentes, des tables en bois confortables et une belle lumière naturelle qui entre par les grandes fenêtres.

Le menu offre une variété de boissons chaudes et froides, ainsi que des pâtisseries et des collations légères. J'ai commandé un cappuccino et un croissant au beurre. Le cappuccino était parfaitement préparé, avec une mousse de lait lisse et crémeuse et un café corsé. Le croissant était également délicieux, légèrement croustillant à l'extérieur et moelleux à l'intérieur.

Le personnel était sympathique et serviable, prêt à répondre à toutes mes questions sur les boissons et les pâtisseries. Le service était rapide et efficace, sans sacrifier la qualité ou le goût.

La décoration de l'endroit est simple mais élégante, avec des touches de plantes vertes et des œuvres d'art locales accrochées aux murs. L'ambiance était calme et paisible, parfait pour une pause-café en solo ou une rencontre avec des amis.

Le seul petit point négatif était le prix, un peu plus élevé que dans d'autres cafés de la région. Cependant, la qualité des boissons et des pâtisseries en valait vraiment la peine.

En résumé, je recommande vivement ce café pour une expérience de café délicieuse et relaxante.
Service
Repas sur place
Type de repas
Déjeuner
Prix par personne
30–40 €
Visité en mai 2023
+ 5

1

Partager"
eric lancray,Local Guide · 19 avis · 16 photos,5 étoiles,"Un lieu mythique qui reste à la hauteur de sa légende.
Service élégant, ambiance intemporelle, et cette sensation unique d’être à la fois dans Paris et en dehors du monde.
Chaque détail est soigné, du verre de vin au café parfait. Ici, on ne consomme pas : on savoure.
Merci pour ce moment suspendu",il y a 10 mois,"eric lancray
Local Guide · 19 avis · 16 photos






il y a 10 mois
Un lieu mythique qui reste à la hauteur de sa légende.
Service élégant, ambiance intemporelle, et cette sensation unique d’être à la fois dans Paris et en dehors du monde.
Chaque détail est soigné, du verre de vin au café parfait. Ici, on ne consomme pas : on savoure.
Merci pour ce moment suspendu
Service
Repas sur place
Type de repas
Déjeuner
Prix par personne
50–60 €
Cuisine : 5
Service : 5
Ambiance : 5
Plats recommandés
Café de Flore Terrine By Gilles Vérot, Le Flore
Visité en mars 2025

1

Partager"
Yannick Lecornu,Local Guide · 166 avis · 351 photos,5 étoiles,"Un lieu mythique de l'intelligentsia française. Avec une atmosphère intemporelle, un emplacement incroyable au cœur du 6e arrondissement de la capitale, le café de Flore offre le cadre idéal pour un petit déjeuner typically french. Certes, les prix sont à la hauteur du mythe, et l'accueil parfois distant (sûrement lié à l'afflux permanent de touristes), mais le lieu conserve un charme inégalé, dans lequel il est doux de laisser son  imaginaire errer en songeant à l'histoire artistique et littéraire de Paris, et aux illustres personnes ayant usé les sièges de cet emblème du boulevard Saint Germain.",il y a 10 mois,"Yannick Lecornu
Local Guide · 166 avis · 351 photos






il y a 10 mois
Un lieu mythique de l'intelligentsia française. Avec une atmosphère intemporelle, un emplacement incroyable au cœur du 6e arrondissement de la capitale, le café de Flore offre le cadre idéal pour un petit déjeuner typically french. Certes, les prix sont à la hauteur du mythe, et l'accueil parfois distant (sûrement lié à l'afflux permanent de touristes), mais le lieu conserve un charme inégalé, dans lequel il est doux de laisser son  imaginaire errer en songeant à l'histoire artistique et littéraire de Paris, et aux illustres personnes ayant usé les sièges de cet emblème du boulevard Saint Germain.
Service
Repas sur place
Type de repas
Petit-déjeuner
Prix par personne
20–30 €
Cuisine : 4
Service : 5
Ambiance : 5
Plats recommandés
Café Crème, Pain Au Chocolat
Visité en avril 2025

1

Partager"
JF de Kriek,Local Guide · 206 avis · 1 144 photos,5 étoiles,"Cette institution parisienne est un haut lieu historique littéraire, philosophique, culturel, artistique.
Beaucoup de monde, nous étions installés à l'intérieur à une petite table, observant notre entourage, s'inventant des histoires sur certains clients en se demandant si ce sont des habitués, artistes, écrivains. On peut s'imaginer des tas de choses dans cet établissement historiquement artistique. Rien que pour ce moment, cela valait la peine de venir.
Nous avons pris un petit déjeuner ""classique"" et nous avons bien profité de l'instant présent, le service était très bien, compréhensif et serviable.",il y a un an,"JF de Kriek
Local Guide · 206 avis · 1 144 photos






il y a un an
Cette institution parisienne est un haut lieu historique littéraire, philosophique, culturel, artistique.
Beaucoup de monde, nous étions installés à l'intérieur à une petite table, observant notre entourage, s'inventant des histoires sur certains clients en se demandant si ce sont des habitués, artistes, écrivains. On peut s'imaginer des tas de choses dans cet établissement historiquement artistique. Rien que pour ce moment, cela valait la peine de venir.
Nous avons pris un petit déjeuner ""classique"" et nous avons bien profité de l'instant présent, le service était très bien, compréhensif et serviable.
Service
Repas sur place
Type de repas
Petit-déjeuner
Cuisine : 5
Service : 5
Ambiance : 5
Visité en mars 2024
+ 2

3

Partager"
SPARKS TIANA LEE,1 avis,5 étoiles,"« Un lieu légendaire à Saint-Germain, riche en histoire. On y sert un chocolat chaud parfait et des croissants succulents. Les prix sont élevés, mais l'ambiance en vaut la peine : on y ressent l'esprit du vieux Paris. »",il y a 2 mois,"SPARKS TIANA LEE
1 avis






il y a 2 mois
« Un lieu légendaire à Saint-Germain, riche en histoire. On y sert un chocolat chaud parfait et des croissants succulents. Les prix sont élevés, mais l'ambiance en vaut la peine : on y ressent l'esprit du vieux Paris. »
Cuisine : 5
Service : 5
Ambiance : 4
Visité en décembre 2025

J'aime

Partager"
Nolwenn (놀웬),Local Guide · 10 avis · 18 photos,2 étoiles,"Restaurant bien cliché parisien que j’ai testé pour accompagner une amie touriste. En tant que parisienne, j’ai adoré l’ambiance mais le chocolat chaud et la crème brûlée que j’ai commandé n’étaient pas du tout bon…. 22€ et je n’ai même pas pu tout manger. Déçue, je ne recommanderai pas ce café pour mes amis étrangers.",Modifié il y a un an,"Nolwenn (놀웬)
Local Guide · 10 avis · 18 photos






Modifié il y a un an
Restaurant bien cliché parisien que j’ai testé pour accompagner une amie touriste. En tant que parisienne, j’ai adoré l’ambiance mais le chocolat chaud et la crème brûlée que j’ai commandé n’étaient pas du tout bon…. 22€ et je n’ai même pas pu tout manger. Déçue, je ne recommanderai pas ce café pour mes amis étrangers.
Service
Repas sur place
Type de repas
Petit-déjeuner
Prix par personne
10–20 €
Cuisine : 1
Service : 4
Ambiance : 3
Visité en septembre 2024

3

Partager"
Ezra Dali,Local Guide · 20 avis · 5 photos,5 étoiles,"Le Café de Flore reste une adresse parisienne emblématique, chargée d’histoire et de charme. Le service est attentif, le cadre authentique, et l’ambiance typiquement parisienne. Parfait pour savourer un café en terrasse en observant le quartier de Saint-Germain-des-Prés. Une belle expérience intemporelle. ☕✨",il y a 4 mois,"Ezra Dali
Local Guide · 20 avis · 5 photos






il y a 4 mois
Le Café de Flore reste une adresse parisienne emblématique, chargée d’histoire et de charme. Le service est attentif, le cadre authentique, et l’ambiance typiquement parisienne. Parfait pour savourer un café en terrasse en observant le quartier de Saint-Germain-des-Prés. Une belle expérience intemporelle. ☕✨
Cuisine : 5
Service : 5
Ambiance : 5
Visité en octobre 2025

J'aime

Partager"
Valérie CAMPS,Local Guide · 17 avis,3 étoiles,"Si le service était impeccable, leur tarte tatin à 15 € la part était moyenne.En fait, on  paye tout le tralala.Pour le thé à 9€, nous avons eu droit en plus  à une carafe d eau froide, petite carafe d eau chaude.On aurait aimé un peu de lait mais j imagine qu il aurait fallu le payer.Experience décevante.",il y a 2 mois,"Valérie CAMPS
Local Guide · 17 avis






il y a 2 mois
Si le service était impeccable, leur tarte tatin à 15 € la part était moyenne.En fait, on  paye tout le tralala.Pour le thé à 9€, nous avons eu droit en plus  à une carafe d eau froide, petite carafe d eau chaude.On aurait aimé un peu de lait mais j imagine qu il aurait fallu le payer.Experience décevante.
Cuisine : 3
Service : 5
Ambiance : 3
Visité en décembre 2025

J'aime

Partager"
vio AL,Local Guide · 38 avis · 11 photos,5 étoiles,"Le chocolat viennois est une tuerie!!!
Merci pour le soin apporté par le serveur.
Un joli moment au café de Flore",il y a 3 mois,"vio AL
Local Guide · 38 avis · 11 photos






il y a 3 mois
Le chocolat viennois est une tuerie!!!
Merci pour le soin apporté par le serveur.
Un joli moment au café de Flore
Type de repas
Autre
Prix par personne
10–20 €
Cuisine : 5
Service : 5
Visité en novembre 2025

J'aime

Partager"
Chloé B,Local Guide · 23 avis · 4 photos,1 étoile,"Très mauvaise expérience !!!!
Nous nous sommes rendus au Café de Flore pour déjeuner en famille, mais l’accueil a été particulièrement décevant. La placeuse nous a immédiatement demandé de plier la poussette alors que notre bébé dormait profondément. Malgré notre impossibilité de la plier dans ces conditions, elle nous a tout simplement refusé l’accès.

Au-delà du refus, c’est surtout son attitude qui nous a marqués : elle ne nous regardait même pas dans les yeux, était très désagréable et clairement malpolie. Une expérience malheureusement très loin du standing attendu d’un établissement aussi réputé.

Nous sommes alors allés juste à côté, aux Deux Magots, où l’accueil a été tout l’inverse : chaleureux, souriant et surtout compréhensif. Ils ont immédiatement trouvé une solution pour que nous puissions nous installer avec la poussette et déjeuner sereinement.

Un grand merci aux Deux Magots pour leur professionnalisme — et une vraie déception pour le Café de Flore",il y a 3 mois,"Chloé B
Local Guide · 23 avis · 4 photos






il y a 3 mois
Très mauvaise expérience !!!!
Nous nous sommes rendus au Café de Flore pour déjeuner en famille, mais l’accueil a été particulièrement décevant. La placeuse nous a immédiatement demandé de plier la poussette alors que notre bébé dormait profondément. Malgré notre impossibilité de la plier dans ces conditions, elle nous a tout simplement refusé l’accès.

Au-delà du refus, c’est surtout son attitude qui nous a marqués : elle ne nous regardait même pas dans les yeux, était très désagréable et clairement malpolie. Une expérience malheureusement très loin du standing attendu d’un établissement aussi réputé.

Nous sommes alors allés juste à côté, aux Deux Magots, où l’accueil a été tout l’inverse : chaleureux, souriant et surtout compréhensif. Ils ont immédiatement trouvé une solution pour que nous puissions nous installer avec la poussette et déjeuner sereinement.

Un grand merci aux Deux Magots pour leur professionnalisme — et une vraie déception pour le Café de Flore
Cuisine : 1
Service : 1
Ambiance : 1
Visité en novembre 2025

J'aime

Partager"
M Der,Local Guide · 416 avis · 1 124 photos,3 étoiles,"C’était mieux avant … faire la queue , déjeuner en terrasse quand il fait zéro degré …. Un truc de touriste … fini le temps ou le personnel venait vous serrer la main et taper la discute ! Tout fou le camp Simone !",il y a 2 mois,"M Der
Local Guide · 416 avis · 1 124 photos






il y a 2 mois
C’était mieux avant … faire la queue , déjeuner en terrasse quand il fait zéro degré …. Un truc de touriste … fini le temps ou le personnel venait vous serrer la main et taper la discute ! Tout fou le camp Simone !
Type de repas
Autre
Prix par personne
20–30 €
Cuisine : 2
Service : 1
Ambiance : 2
Niveau de bruit
Élevé (mais il est possible de discuter)
Taille de groupe
2 personnes
Place de parking
Stationnement plutôt difficile à trouver
Options de stationnement
Parking payant
Parking
Terrible lieu
Visité en décembre 2025

J'aime

Partager"
ANNA MARIA CORAPI,1 avis,5 étoiles,"Café légendaire à Saint-Germain-des-Prés, où Sartre, de Beauvoir et Ernest Hemingway ont pris place à différentes époques. Les prix sont élevés, les touristes nombreux, mais l'ambiance y est particulière. C'est l'endroit idéal pour boire une tasse de chocolat chaud et observer la vie du « Left Bank » parisien. On y vient non seulement pour manger, mais aussi pour toucher l'histoire.",il y a 2 mois,"ANNA MARIA CORAPI
1 avis






il y a 2 mois
Café légendaire à Saint-Germain-des-Prés, où Sartre, de Beauvoir et Ernest Hemingway ont pris place à différentes époques. Les prix sont élevés, les touristes nombreux, mais l'ambiance y est particulière. C'est l'endroit idéal pour boire une tasse de chocolat chaud et observer la vie du « Left Bank » parisien. On y vient non seulement pour manger, mais aussi pour toucher l'histoire.
Cuisine : 5
Service : 5
Ambiance : 5
Visité en décembre 2025

J'aime

Partager"
Zakaria Mahdi,Local Guide · 83 avis · 9 photos,2 étoiles,"Attrape touristes
Les serveurs sont froid er enchaînent les commandes sans moindre marque de respect. Le chocolat chaud n est pas à la hauteur de la qualité attendu.",il y a un mois,"Zakaria Mahdi
Local Guide · 83 avis · 9 photos






il y a un mois
Attrape touristes
Les serveurs sont froid er enchaînent les commandes sans moindre marque de respect. Le chocolat chaud n est pas à la hauteur de la qualité attendu.
Cuisine : 2
Service : 2
Ambiance : 3
Visité en décembre 2025

J'aime

Partager"
ruby townend,2 avis · 1 photo,1 étoile,"Tout d'abord, je veux juste dire qu'il faut virer la femme en blazer noir aux cheveux châtain foncé parce que ma famille et moi voulons voir et découvrir toute l'histoire de cet endroit. Nous attendions juste dehors et elle n'était rien d'autre qu'impolie en parlant aux autres familles comme si nous pouvions l'entendre. Nous ne nous associons pas à des gens comme ça, alors pour commencer, n'y allez pas si vous ne voulez pas être jugé. Deuxièmement, elle ne sait pas comment s'utiliser et en plus (embaucher des gens comme elle est tout simplement embarrassant).",il y a 7 mois,"ruby townend
2 avis · 1 photo






il y a 7 mois
Tout d'abord, je veux juste dire qu'il faut virer la femme en blazer noir aux cheveux châtain foncé parce que ma famille et moi voulons voir et découvrir toute l'histoire de cet endroit. Nous attendions juste dehors et elle n'était rien d'autre qu'impolie en parlant aux autres familles comme si nous pouvions l'entendre. Nous ne nous associons pas à des gens comme ça, alors pour commencer, n'y allez pas si vous ne voulez pas être jugé. Deuxièmement, elle ne sait pas comment s'utiliser et en plus (embaucher des gens comme elle est tout simplement embarrassant).
Type de repas
Déjeuner
Cuisine : 1
Service : 1
Ambiance : 1
Taille de groupe
3-4 personnes
Temps d’attente
10-30 min
Adapté aux enfants
La femme était horrible, impolie et a besoin d'être renvoyée.
Visité en juillet 2025

J'aime

Partager"
Napoléon Bonaparte,Local Guide · 210 avis · 397 photos,2 étoiles,"La qualité a énormément baissé.

Ils ne servent même pas le café avec un petit chocolat ou biscuit ce qui serait le minimum pour un lieu comme celui-ci.

Dans des bars/cafés plus modestes vous avez au moins un biscuit.

Il faut croire que même dans les endroits chics, la recherche des économies pour faire du chiffre Est un sport national.

La France n'a plus de vrais valeurs grâce à ce gouvernement .

De plus le beurre d'échiré de grande qualité est servi dur comme de la pierre très compliqué pour tartiner un pain brioché ? Comment une telle erreur est possible ?",il y a un an,"Napoléon Bonaparte
Local Guide · 210 avis · 397 photos






il y a un an
La qualité a énormément baissé.

Ils ne servent même pas le café avec un petit chocolat ou biscuit ce qui serait le minimum pour un lieu comme celui-ci.

Dans des bars/cafés plus modestes vous avez au moins un biscuit.

Il faut croire que même dans les endroits chics, la recherche des économies pour faire du chiffre Est un sport national.

La France n'a plus de vrais valeurs grâce à ce gouvernement .

De plus le beurre d'échiré de grande qualité est servi dur comme de la pierre très compliqué pour tartiner un pain brioché ? Comment une telle erreur est possible ?
Cuisine : 1
Service : 2
Ambiance : 3
Visité en janvier 2025

J'aime

Partager"
Fan Du japonマル,Local Guide · 9 avis · 12 photos,5 étoiles,"Personnel accueillant et chaleureux à la bonne humeur et au sens de l'humour 😊
Le café était charmant tout comme la cuisine qui n'était pas en reste! La vaisselle, le thé, tout comme le mobilier (dehors comme dedans) sont ravissants.
Le repas était très agréable! ❁",il y a un an,"Fan Du japonマル
Local Guide · 9 avis · 12 photos






il y a un an
Personnel accueillant et chaleureux à la bonne humeur et au sens de l'humour 😊
Le café était charmant tout comme la cuisine qui n'était pas en reste! La vaisselle, le thé, tout comme le mobilier (dehors comme dedans) sont ravissants.
Le repas était très agréable! ❁
Service
Repas sur place
Type de repas
Déjeuner
Prix par personne
30–40 €
Cuisine : 5
Service : 5
Ambiance : 5
Plats recommandés
Options pour les végétariens
Les options pour les végétariens ne manquent pas👍
Visité en mars 2024

1

Partager"
Francis BOCHATON (laird of Blackwood),Local Guide · 32 avis · 173 photos,5 étoiles,"Bonne cuisine, j'ai pris une salade niçoise bien servi et une tarte tatie excellente....bonne ambiance...serveur aimable et souriant....",il y a 10 mois,"Francis BOCHATON (laird of Blackwood)
Local Guide · 32 avis · 173 photos






il y a 10 mois
Bonne cuisine, j'ai pris une salade niçoise bien servi et une tarte tatie excellente....bonne ambiance...serveur aimable et souriant....
Cuisine : 5
Service : 5
Ambiance : 5
Visité en avril 2025
+ 6

J'aime

Partager"
Pascale Hérault,Local Guide · 16 avis · 24 photos,5 étoiles,"Un lieu mythique, un café délicieux servi sur un joli set de table papier reproduction d'un dessin de Sempé. What else?",il y a 2 mois,"Pascale Hérault
Local Guide · 16 avis · 24 photos






il y a 2 mois
Un lieu mythique, un café délicieux servi sur un joli set de table papier reproduction d'un dessin de Sempé. What else?
Type de repas
Autre
Prix par personne
1–10 €
Service : 5
Ambiance : 5
Temps d’attente
Aucune attente
Type d'emplacement
Terrasse/Patio extérieur
Visité en décembre 2025

J'aime

Partager"
jpalive,Local Guide · 54 avis · 207 photos,4 étoiles,"Lieu charmant et emblématique parisien.
Il faut parfois faire la queue pour découvrir ce lieu.
Très bruyant, et servi au pas de charge.
Votre temps de présence pour consommer est sous observation par les serveurs. (Surtout s'il y a une fille d'attente devant le café)",il y a un an,"jpalive
Local Guide · 54 avis · 207 photos






il y a un an
Lieu charmant et emblématique parisien.
Il faut parfois faire la queue pour découvrir ce lieu.
Très bruyant, et servi au pas de charge.
Votre temps de présence pour consommer est sous observation par les serveurs. (Surtout s'il y a une fille d'attente devant le café)
Service
Repas sur place
Type de repas
Autre
Prix par personne
20–30 €
Cuisine : 5
Service : 4
Ambiance : 3
Plats recommandés
Assortiment de Pâtisseries
Visité en janvier 2025

1

Partager"
Chris B,11 avis · 2 photos,5 étoiles,"J'y viens de temps à autre pour une boisson chaude. En général un thé vert ou un chocolat chaud.
Serveurs toujours très agréables et avenants sans être pressants.
(Je m'installe toujours à l'intérieur pour plus de tranquillité)
Et véritable plus: toilettes toujours très propres et bien entretenues (merci Madame).",il y a 4 mois,"Chris B
11 avis · 2 photos






il y a 4 mois
J'y viens de temps à autre pour une boisson chaude. En général un thé vert ou un chocolat chaud.
Serveurs toujours très agréables et avenants sans être pressants.
(Je m'installe toujours à l'intérieur pour plus de tranquillité)
Et véritable plus: toilettes toujours très propres et bien entretenues (merci Madame).
Cuisine : 5
Service : 5
Ambiance : 5
Visité en octobre 2025

J'aime

Partager"
Jose Francisco Leitao Henriques,5 avis · 1 photo,5 étoiles,"Un lieu mythique au cœur de Saint-Germain-des-Prés! Le Café de Flore mêle à merveille charme d’antan et élégance parisienne. Le café crème est délicieux, les viennoiseries fondent en bouche, et le personnel est toujours accueillant malgré l’affluence. On y vient autant pour l’ambiance que pour l’histoire : chaque visite est un petit voyage dans le temps. Incontournable pour les amoureux de Paris!",il y a 8 mois,"Jose Francisco Leitao Henriques
5 avis · 1 photo






il y a 8 mois
Un lieu mythique au cœur de Saint-Germain-des-Prés! Le Café de Flore mêle à merveille charme d’antan et élégance parisienne. Le café crème est délicieux, les viennoiseries fondent en bouche, et le personnel est toujours accueillant malgré l’affluence. On y vient autant pour l’ambiance que pour l’histoire : chaque visite est un petit voyage dans le temps. Incontournable pour les amoureux de Paris!
Cuisine : 5
Service : 5
Ambiance : 5
Visité en juin 2025

J'aime

Partager"
BOURDIN Margot,12 avis,2 étoiles,"Honteuse façon de traiter la clientèle. Au delà de leur attitude aigris, ils sont malpolis. On a laissé passer 3 serveurs dans les escaliers, pas un d’eux ne nous a dit merci. Il devrait tous aller prendre une petite leçon de savoir vivre.",il y a 3 mois,"BOURDIN Margot
12 avis






il y a 3 mois
Honteuse façon de traiter la clientèle. Au delà de leur attitude aigris, ils sont malpolis. On a laissé passer 3 serveurs dans les escaliers, pas un d’eux ne nous a dit merci. Il devrait tous aller prendre une petite leçon de savoir vivre.
Cuisine : 3
Service : 1
Ambiance : 1
Visité en novembre 2025

J'aime

Partager"
