review_id,review,local_guide_reviews,rating_score,service,meal_type,price_per_person_category,food_score,service_score,atmosphere_score,recommendations_list,date,avg_price_per_person,cleaned_review,vader_sentiment,sentiment_label,embedding,pca_cluster,umap_cluster,month,year,total_score,sample_type
,"Bar / snacking / restauration situé en plein coeur de Paris à Saint Germain.
Si le cadre est sympa et original, les prix pour un touriste lambda sont dissuasifs : 5€50 le café, 8€50 une limonade....etc. …",,3,,,,,,,,,,,,,,,,2025-12,,,low_score_reviews
,"Lieu emblématique de Paris, à la décoration très traditionnelle qui en fait son charme.
Par contre j’étais venu pour le chocolat chaud, classé comme un des meilleurs de …",,2,,,,,,,,,,,,,,,,2025-12,,,low_score_reviews
